red_izo,KODOK,NAZKR,NAZOK
600010228,3502,Ústecký,Děčín
600010171,3502,Ústecký,Děčín
600010198,3502,Ústecký,Děčín
600020355,3502,Ústecký,Děčín
600170560,3502,Ústecký,Děčín
600019683,3502,Ústecký,Děčín
600170551,3502,Ústecký,Děčín
600028925,3502,Ústecký,Děčín
600023206,3502,Ústecký,Děčín
600010279,3502,Ústecký,Děčín
600010180,3502,Ústecký,Děčín
600023265,3502,Ústecký,Děčín
600019691,3502,Ústecký,Děčín
600023249,3502,Ústecký,Děčín
600010155,3502,Ústecký,Děčín
600010163,3502,Ústecký,Děčín
600010210,3502,Ústecký,Děčín
600010287,3503,Ústecký,Chomutov
600170586,3503,Ústecký,Chomutov
600020363,3503,Ústecký,Chomutov
600010368,3503,Ústecký,Chomutov
600077594,3503,Ústecký,Chomutov
600010295,3503,Ústecký,Chomutov
600010350,3503,Ústecký,Chomutov
600010309,3503,Ústecký,Chomutov
600010325,3503,Ústecký,Chomutov
600077535,3503,Ústecký,Chomutov
600010449,3504,Liberecký,Jablonec nad Nisou
600171744,3504,Liberecký,Jablonec nad Nisou
600010490,3504,Liberecký,Jablonec nad Nisou
600010457,3504,Liberecký,Jablonec nad Nisou
600010481,3504,Liberecký,Jablonec nad Nisou
600020371,3504,Liberecký,Jablonec nad Nisou
600020380,3504,Liberecký,Jablonec nad Nisou
600010414,3504,Liberecký,Jablonec nad Nisou
600010473,3504,Liberecký,Jablonec nad Nisou
600010422,3504,Liberecký,Jablonec nad Nisou
600010511,3505,Liberecký,Liberec
600010678,3505,Liberecký,Liberec
600029158,3505,Liberecký,Liberec
600010554,3505,Liberecký,Liberec
600010538,3505,Liberecký,Liberec
600010601,3505,Liberecký,Liberec
600010635,3505,Liberecký,Liberec
600010651,3505,Liberecký,Liberec
600020398,3505,Liberecký,Liberec
600010562,3505,Liberecký,Liberec
600010716,3505,Liberecký,Liberec
600010520,3505,Liberecký,Liberec
600010546,3505,Liberecký,Liberec
600010686,3505,Liberecký,Liberec
600010589,3505,Liberecký,Liberec
600010571,3505,Liberecký,Liberec
600170594,3505,Liberecký,Liberec
600023460,3505,Liberecký,Liberec
600010643,3505,Liberecký,Liberec
600170608,3505,Liberecký,Liberec
600019713,3505,Liberecký,Liberec
600010741,3506,Ústecký,Litoměřice
600010830,3506,Ústecký,Litoměřice
600010864,3506,Ústecký,Litoměřice
600010783,3506,Ústecký,Litoměřice
600010759,3506,Ústecký,Litoměřice
600010805,3506,Ústecký,Litoměřice
600010902,3506,Ústecký,Litoměřice
600010767,3506,Ústecký,Litoměřice
610150502,3506,Ústecký,Litoměřice
600010911,3506,Ústecký,Litoměřice
600010813,3506,Ústecký,Litoměřice
600023478,3506,Ústecký,Litoměřice
600010848,3506,Ústecký,Litoměřice
610150375,3506,Ústecký,Litoměřice
600010856,3506,Ústecký,Litoměřice
600020401,3506,Ústecký,Litoměřice
600020410,3506,Ústecký,Litoměřice
600029191,3506,Ústecký,Litoměřice
600010929,3507,Ústecký,Louny
600170632,3507,Ústecký,Louny
600011003,3507,Ústecký,Louny
600029255,3507,Ústecký,Louny
600023583,3507,Ústecký,Louny
600010953,3507,Ústecký,Louny
600011011,3507,Ústecký,Louny
600010996,3507,Ústecký,Louny
600011020,3507,Ústecký,Louny
600011038,3507,Ústecký,Louny
600170667,3508,Ústecký,Most
600011135,3508,Ústecký,Most
600011062,3508,Ústecký,Most
600011046,3508,Ústecký,Most
600011119,3508,Ústecký,Most
600011054,3508,Ústecký,Most
600011089,3508,Ústecký,Most
600011151,3508,Ústecký,Most
600011097,3508,Ústecký,Most
600011143,3508,Ústecký,Most
691000522,3508,Ústecký,Most
600011127,3508,Ústecký,Most
600170641,3508,Ústecký,Most
600020428,3508,Ústecký,Most
600023648,3508,Ústecký,Most
600011178,3509,Ústecký,Teplice
600020436,3509,Ústecký,Teplice
600011232,3509,Ústecký,Teplice
600023711,3509,Ústecký,Teplice
600011267,3509,Ústecký,Teplice
600029441,3509,Ústecký,Teplice
600001431,3509,Ústecký,Teplice
600084795,3509,Ústecký,Teplice
600011216,3509,Ústecký,Teplice
600170675,3509,Ústecký,Teplice
600011291,3509,Ústecký,Teplice
600011283,3509,Ústecký,Teplice
600011305,3509,Ústecký,Teplice
600023737,3509,Ústecký,Teplice
600011381,3510,Ústecký,Ústí nad Labem
600011488,3510,Ústecký,Ústí nad Labem
600011453,3510,Ústecký,Ústí nad Labem
600011321,3510,Ústecký,Ústí nad Labem
600011445,3510,Ústecký,Ústí nad Labem
600011372,3510,Ústecký,Ústí nad Labem
600023796,3510,Ústecký,Ústí nad Labem
600011429,3510,Ústecký,Ústí nad Labem
600011348,3510,Ústecký,Ústí nad Labem
600011399,3510,Ústecký,Ústí nad Labem
600170691,3510,Ústecký,Ústí nad Labem
600019748,3510,Ústecký,Ústí nad Labem
600011500,3601,Vysočina,Havlíčkův Brod
600170748,3601,Vysočina,Havlíčkův Brod
600011551,3601,Vysočina,Havlíčkův Brod
600019756,3601,Vysočina,Havlíčkův Brod
600023885,3601,Vysočina,Havlíčkův Brod
600011526,3601,Vysočina,Havlíčkův Brod
600011593,3601,Vysočina,Havlíčkův Brod
600011577,3601,Vysočina,Havlíčkův Brod
600023851,3601,Vysočina,Havlíčkův Brod
600011534,3601,Vysočina,Havlíčkův Brod
600170730,3601,Vysočina,Havlíčkův Brod
600011623,3602,Královéhradecký,Hradec Králové
600011798,3602,Královéhradecký,Hradec Králové
691000794,3602,Královéhradecký,Hradec Králové
600011755,3602,Královéhradecký,Hradec Králové
600011666,3602,Královéhradecký,Hradec Králové
600011674,3602,Královéhradecký,Hradec Králové
600011771,3602,Královéhradecký,Hradec Králové
600023974,3602,Královéhradecký,Hradec Králové
600023940,3602,Královéhradecký,Hradec Králové
600011739,3602,Královéhradecký,Hradec Králové
600024024,3602,Královéhradecký,Hradec Králové
600011615,3602,Královéhradecký,Hradec Králové
600170764,3602,Královéhradecký,Hradec Králové
600011658,3602,Královéhradecký,Hradec Králové
600011828,3602,Královéhradecký,Hradec Králové
600011631,3602,Královéhradecký,Hradec Králové
691004048,3602,Královéhradecký,Hradec Králové
600011712,3602,Královéhradecký,Hradec Králové
600011747,3602,Královéhradecký,Hradec Králové
600011801,3602,Královéhradecký,Hradec Králové
600024016,3602,Královéhradecký,Hradec Králové
600019772,3602,Královéhradecký,Hradec Králové
600011682,3602,Královéhradecký,Hradec Králové
600011763,3602,Královéhradecký,Hradec Králové
600011780,3602,Královéhradecký,Hradec Králové
600011607,3602,Královéhradecký,Hradec Králové
651014646,3602,Královéhradecký,Hradec Králové
600011852,3603,Pardubický,Chrudim
600024032,3603,Pardubický,Chrudim
600011917,3603,Pardubický,Chrudim
600011925,3603,Pardubický,Chrudim
600011887,3603,Pardubický,Chrudim
600011879,3603,Pardubický,Chrudim
600170772,3603,Pardubický,Chrudim
651033772,3603,Pardubický,Chrudim
600011984,3603,Pardubický,Chrudim
600019781,3603,Pardubický,Chrudim
650004833,3603,Pardubický,Chrudim
691000719,3603,Pardubický,Chrudim
600011941,3603,Pardubický,Chrudim
600012085,3604,Královéhradecký,Jičín
600024113,3604,Královéhradecký,Jičín
600012077,3604,Královéhradecký,Jičín
600011992,3604,Královéhradecký,Jičín
600012000,3604,Královéhradecký,Jičín
600012093,3604,Královéhradecký,Jičín
600012069,3604,Královéhradecký,Jičín
600012018,3604,Královéhradecký,Jičín
600012051,3604,Královéhradecký,Jičín
600012026,3604,Královéhradecký,Jičín
600170781,3604,Královéhradecký,Jičín
600170802,3604,Královéhradecký,Jičín
600012107,3605,Královéhradecký,Náchod
600012221,3605,Královéhradecký,Náchod
600012212,3605,Královéhradecký,Náchod
600170829,3605,Královéhradecký,Náchod
600012123,3605,Královéhradecký,Náchod
600012158,3605,Královéhradecký,Náchod
600012271,3605,Královéhradecký,Náchod
600012115,3605,Královéhradecký,Náchod
600012255,3605,Královéhradecký,Náchod
600012247,3605,Královéhradecký,Náchod
600012263,3605,Královéhradecký,Náchod
600012204,3605,Královéhradecký,Náchod
600024211,3605,Královéhradecký,Náchod
600012239,3605,Královéhradecký,Náchod
600170811,3605,Královéhradecký,Náchod
600170837,3606,Pardubický,Pardubice
600012301,3606,Pardubický,Pardubice
600012450,3606,Pardubický,Pardubice
600012417,3606,Pardubický,Pardubice
600012468,3606,Pardubický,Pardubice
600024270,3606,Pardubický,Pardubice
600012433,3606,Pardubický,Pardubice
600012298,3606,Pardubický,Pardubice
600012310,3606,Pardubický,Pardubice
600012425,3606,Pardubický,Pardubice
600012514,3606,Pardubický,Pardubice
600012328,3606,Pardubický,Pardubice
600012379,3606,Pardubický,Pardubice
600024296,3606,Pardubický,Pardubice
600012409,3606,Pardubický,Pardubice
691005559,3606,Pardubický,Pardubice
600012484,3606,Pardubický,Pardubice
600012352,3606,Pardubický,Pardubice
600019799,3606,Pardubický,Pardubice
691003009,3606,Pardubický,Pardubice
600012522,3606,Pardubický,Pardubice
600170853,3606,Pardubický,Pardubice
600012361,3606,Pardubický,Pardubice
600012549,3607,Královéhradecký,Rychnov nad Kněžnou
600012590,3607,Královéhradecký,Rychnov nad Kněžnou
651017459,3607,Královéhradecký,Rychnov nad Kněžnou
600012581,3607,Královéhradecký,Rychnov nad Kněžnou
600012573,3607,Královéhradecký,Rychnov nad Kněžnou
600012557,3607,Královéhradecký,Rychnov nad Kněžnou
691000107,3607,Královéhradecký,Rychnov nad Kněžnou
600024300,3607,Královéhradecký,Rychnov nad Kněžnou
600171752,3608,Liberecký,Semily
600170918,3608,Liberecký,Semily
600012654,3608,Liberecký,Semily
600170896,3608,Liberecký,Semily
600099296,3608,Liberecký,Semily
600012638,3608,Liberecký,Semily
691000093,3608,Liberecký,Semily
600012646,3608,Liberecký,Semily
600019802,3608,Liberecký,Semily
600170900,3608,Liberecký,Semily
600012751,3609,Pardubický,Svitavy
600012701,3609,Pardubický,Svitavy
600012841,3609,Pardubický,Svitavy
691002797,3609,Pardubický,Svitavy
600012794,3609,Pardubický,Svitavy
600012760,3609,Pardubický,Svitavy
600012816,3609,Pardubický,Svitavy
600024474,3609,Pardubický,Svitavy
690000014,3609,Pardubický,Svitavy
600012859,3609,Pardubický,Svitavy
600012735,3609,Pardubický,Svitavy
600012808,3609,Pardubický,Svitavy
600012786,3609,Pardubický,Svitavy
600012727,3609,Pardubický,Svitavy
600012824,3609,Pardubický,Svitavy
600019811,3609,Pardubický,Svitavy
600012867,3610,Královéhradecký,Trutnov
600013006,3610,Královéhradecký,Trutnov
600024695,3610,Královéhradecký,Trutnov
600013014,3610,Královéhradecký,Trutnov
600024679,3610,Královéhradecký,Trutnov
600029867,3610,Královéhradecký,Trutnov
600024687,3610,Královéhradecký,Trutnov
651014271,3610,Královéhradecký,Trutnov
600012913,3610,Královéhradecký,Trutnov
600012905,3610,Královéhradecký,Trutnov
600012875,3610,Královéhradecký,Trutnov
600024610,3610,Královéhradecký,Trutnov
600012883,3610,Královéhradecký,Trutnov
600012921,3610,Královéhradecký,Trutnov
610200381,3610,Královéhradecký,Trutnov
600019829,3610,Královéhradecký,Trutnov
691002142,3610,Královéhradecký,Trutnov
600012891,3610,Královéhradecký,Trutnov
600012930,3610,Královéhradecký,Trutnov
